[2026-09-21T19:52:37.088Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (4ms, -815B)
[2026-09-21T19:52:37.089Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (4ms, -815B)
[2026-09-21T19:52:37.091Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (2ms, -815B)
[2026-09-21T19:52:40.669Z] GET file:///C:/www/sysmicon/prototipo-web/index.html?v=9690 → 200 (1ms, 26004B)
[2026-09-21T19:52:40.680Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-09-21T19:52:40.680Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (32ms, -950B)
[2026-09-21T19:52:40.680Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (3ms, 994492B)
[2026-09-21T19:52:40.680Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (4ms, 21808B)
[2026-09-21T19:52:40.692Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (1ms, -815B)
[2026-09-21T19:52:40.692Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (2ms, -815B)
[2026-09-21T19:52:40.692Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (3ms, -815B)
[2026-09-21T19:52:40.693Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (2ms, -815B)
[2026-09-21T19:52:40.693Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.131Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=13165 → 200 (1ms, 26493B)
[2026-09-21T19:56:40.150Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (3ms, -698B)
[2026-09-21T19:56:40.150Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (27ms, -950B)
[2026-09-21T19:56:40.150Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (4ms, 21808B)
[2026-09-21T19:56:40.173Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.174Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.174Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.174Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.175Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:40.197Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (29ms, 994492B)
[2026-09-21T19:56:43.740Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=14061 → 200 (1ms, 26493B)
[2026-09-21T19:56:43.753Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-09-21T19:56:43.753Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (20ms, -950B)
[2026-09-21T19:56:43.753Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (1ms, 21808B)
[2026-09-21T19:56:43.759Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (2ms, -815B)
[2026-09-21T19:56:43.759Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (7ms, -815B)
[2026-09-21T19:56:43.759Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (9ms, -815B)
[2026-09-21T19:56:43.760Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (8ms, -815B)
[2026-09-21T19:56:43.760Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (8ms, -815B)
[2026-09-21T19:56:43.778Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (12ms, 994492B)
[2026-09-21T19:57:32.320Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=30484 → 200 (1ms, 27023B)
[2026-09-21T19:57:32.333Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (3ms, -698B)
[2026-09-21T19:57:32.333Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (22ms, -950B)
[2026-09-21T19:57:32.333Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (3ms, 21808B)
[2026-09-21T19:57:32.340Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (2ms, -815B)
[2026-09-21T19:57:32.340Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (8ms, -815B)
[2026-09-21T19:57:32.340Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (10ms, -815B)
[2026-09-21T19:57:32.340Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (10ms, -815B)
[2026-09-21T19:57:32.340Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (10ms, -815B)
[2026-09-21T19:57:32.359Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (11ms, 994492B)
[2026-09-21T19:57:36.084Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=24372 → 200 (1ms, 27023B)
[2026-09-21T19:57:36.097Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-09-21T19:57:36.097Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (21ms, -950B)
[2026-09-21T19:57:36.097Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (1ms, 21808B)
[2026-09-21T19:57:36.115Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (1ms, -815B)
[2026-09-21T19:57:36.115Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (2ms, -815B)
[2026-09-21T19:57:36.115Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (2ms, -815B)
[2026-09-21T19:57:36.115Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (2ms, -815B)
[2026-09-21T19:57:36.115Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (5ms, -815B)
[2026-09-21T19:57:36.121Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (14ms, 994492B)
[2026-09-21T19:57:40.956Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=26720 → 200 (4ms, 27023B)
[2026-09-21T19:57:40.979Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (2ms, -698B)
[2026-09-21T19:57:40.979Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (63ms, -950B)
[2026-09-21T19:57:40.979Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (2ms, 21808B)
[2026-09-21T19:57:40.992Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (6ms, -815B)
[2026-09-21T19:57:40.992Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (8ms, -815B)
[2026-09-21T19:57:40.992Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (8ms, -815B)
[2026-09-21T19:57:40.993Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (8ms, -815B)
[2026-09-21T19:57:40.993Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (13ms, -815B)
[2026-09-21T19:57:41.047Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (18ms, 994492B)
[2026-09-21T19:57:45.584Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=21100 → 200 (3ms, 27023B)
[2026-09-21T19:57:45.608Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (5ms, -698B)
[2026-09-21T19:57:45.608Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (62ms, -950B)
[2026-09-21T19:57:45.609Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (4ms, 21808B)
[2026-09-21T19:57:45.632Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (3ms, -815B)
[2026-09-21T19:57:45.632Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (6ms, -815B)
[2026-09-21T19:57:45.632Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (27ms, -815B)
[2026-09-21T19:57:45.632Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (28ms, -815B)
[2026-09-21T19:57:45.632Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (29ms, -815B)
[2026-09-21T19:57:45.677Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (13ms, 994492B)
[2026-09-21T19:58:29.043Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=23694 → 200 (1ms, 27111B)
[2026-09-21T19:58:29.055Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (2ms, -698B)
[2026-09-21T19:58:29.056Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (25ms, -950B)
[2026-09-21T19:58:29.056Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (1ms, 21998B)
[2026-09-21T19:58:29.064Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (?ms, -815B)
[2026-09-21T19:58:29.064Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (2ms, -815B)
[2026-09-21T19:58:29.064Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (2ms, -815B)
[2026-09-21T19:58:29.064Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (3ms, -815B)
[2026-09-21T19:58:29.064Z] GET https://fonts.gstatic.com/s/instrumentserif/v5/jizHRFtNs2ka5fXjeivQ4LroWlx-6zAjjH7M.woff2 → 200 (5ms, -815B)
[2026-09-21T19:58:29.087Z] GET file:///C:/www/sysmicon/prototipo-web/legado-data.js → 200 (3ms, 994492B)
[2026-09-21T19:58:31.451Z] GET file:///C:/www/sysmicon/prototipo-web/portafolio.html?v=10482 → 200 (1ms, 27111B)
[2026-09-21T19:58:31.460Z] GET https://fonts.googleapis.com/css2?family=Instrument+Sans:wght@400;500;600&family=Instrument+Serif:ital@0;1&family=IBM+Plex+Mono:wght@400;500&family=Figtree:wght@400;500;600&display=swap → 200 (1ms, -698B)
[2026-09-21T19:58:31.461Z] GET https://cdnjs.cloudflare.com/ajax/libs/three.js/r128/three.min.js → 200 (18ms, -950B)
[2026-09-21T19:58:31.461Z] GET file:///C:/www/sysmicon/prototipo-web/escena.js → 200 (1ms, 21998B)
[2026-09-21T19:58:31.468Z] GET https://fonts.gstatic.com/s/figtree/v9/_Xms-HUzqDCFdgfMm4S9DQ.woff2 → 200 (?ms, -815B)
[2026-09-21T19:58:31.468Z] GET https://fonts.gstatic.com/s/instrumentsans/v4/pxiTypc9vsFDm051Uf6KVwgkfoSxQ0GsQv8ToedPibnr0SZe1Q.woff2 → 200 (2ms, -815B)
[2026-09-21T19:58:31.468Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F63fjptAgt5VM-kVkqdyU8n1i8q1w.woff2 → 200 (3ms, -815B)
[2026-09-21T19:58:31.468Z] GET https://fonts.gstatic.com/s/ibmplexmono/v20/-F6qfjptAgt5VM-kVkqdyU8n3twJwlBFgg.woff2 → 200 (3ms, -815B)
